StateCapitals
Abakaliki
Abeokuta
Abuja
AdoEkiti
Akure
Asaba
Awka
Bauchi
BeninCity
BirninKebbi
Calabar
Damaturu
Dutse
Enugu
Gombe
Gusau
Ibadan
Ilorin
Jalingo
Jos
Kaduna
Kano
Katsina
Lafia
Lagos
Lokoja
Maiduguri
Makurdi
Minna
Osogbo
Owerri
PortHarcourt
Sokoto
Umuahia
Uyo
Yenagoa
Yola
