from_city,to_city,distance_km
Asaba,Uyo,247
Asaba,Yenagoa,213
Asaba,Yola,960
Awka,Bauchi,803
Awka,Benin City,166
Awka,Birnin Kebbi,1245
Awka,Calabar,259
Awka,Damaturu,1115
Awka,Dutse,976
Awka,Enugu,62
Awka,Gombe,958
Awka,Gusau,984
Awka,Ibadan,457
Awka,Lagos,494
Awka,Ilorin,528
Awka,Jalingo,815
Awka,Jos,671
Awka,Kaduna,724
Awka,Kano,988
Awka,Katsina,1077
Awka,Lafia,416
Awka,Lokoja,456
Awka,Maiduguri,1245
Awka,Makurdi,332
Awka,Minna,926
Awka,Osogbo,425
Awka,Owerri,141
Awka,Port Harcourt,255
Awka,Sokoto,1211
Awka,Umuahia,126
Awka,Uyo,207
Awka,Yenagoa,257
Awka,Yola,746
Bauchi,Benin City,850
Bauchi,Birnin Kebbi,962
Bauchi,Calabar,1002
Bauchi,Damaturu,312
Bauchi,Dutse,313
Bauchi,Enugu,740
Bauchi,Gombe,155
Bauchi,Gusau,670
Bauchi,Ibadan,1053
Bauchi,Lagos,1202
Bauchi,Ilorin,909
Bauchi,Jalingo,610
Bauchi,Jos,180
Bauchi,Kaduna,410
Bauchi,Kano,301
Bauchi,Katsina,518
Bauchi,Lafia,326
Bauchi,Lokoja,601
Bauchi,Maiduguri,462
Bauchi,Makurdi,469
Bauchi,Minna,590
Bauchi,Osogbo,908
Bauchi,Owerri,879
Bauchi,Port Harcourt,970
Bauchi,Sokoto,777
Bauchi,Umuahia,660
Bauchi,Uyo,943
Bauchi,Yenagoa,995
Bauchi,Yola,416
Benin City,Birnin Kebbi,862
Benin City,Calabar,490
Benin City,Damaturu,1274
Benin City,Dutse,880
Benin City,Enugu,254
Benin City,Gombe,1044
Benin City,Gusau,1046
Benin City,Ibadan,300
Benin City,Lagos,322
Benin City,Ilorin,399
Benin City,Jalingo,998
Benin City,Jos,758
Benin City,Kaduna,785
Benin City,Kano,1049
Benin City,Katsina,1252
Benin City,Lafia,673
Benin City,Lokoja,287
Benin City,Maiduguri,1353
Benin City,Makurdi,506
Benin City,Minna,608
Benin City,Osogbo,259
Benin City,Owerri,240
Benin City,Port Harcourt,296
Benin City,Sokoto,1020
Benin City,Umuahia,279
Benin City,Uyo,375
Benin City,Yenagoa,210
Benin City,Yola,1107
Birnin Kebbi,Calabar,1318
Birnin Kebbi,Damaturu,1181
Birnin Kebbi,Dutse,660
Birnin Kebbi,Enugu,1120
Birnin Kebbi,Gombe,1117
Birnin Kebbi,Gusau,322
Birnin Kebbi,Ibadan,679
Birnin Kebbi,Lagos,826
Birnin Kebbi,Ilorin,520
Birnin Kebbi,Jalingo,1266
Birnin Kebbi,Jos,830
Birnin Kebbi,Kaduna,550
Birnin Kebbi,Kano,651
Birnin Kebbi,Katsina,596
Birnin Kebbi,Lafia,753
Birnin Kebbi,Lokoja,832
Birnin Kebbi,Maiduguri,1404
Birnin Kebbi,Makurdi,898
Birnin Kebbi,Minna,456
Birnin Kebbi,Osogbo,635
Birnin Kebbi,Owerri,1124
Birnin Kebbi,Port Harcourt,1282
Birnin Kebbi,Sokoto,168
Birnin Kebbi,Umuahia,1272
Birnin Kebbi,Uyo,1353
Birnin Kebbi,Yenagoa,1092
Birnin Kebbi,Yola,1408
Calabar,Damaturu,988
Calabar,Dutse,1050
Calabar,Enugu,276
Calabar,Gombe,1152
Calabar,Gusau,1309
Calabar,Ibadan,518
Calabar,Lagos,772
Calabar,Ilorin,849
Calabar,Jalingo,624
Calabar,Jos,370
Calabar,Kaduna,1034
Calabar,Kano,1296
Calabar,Katsina,1464
Calabar,Lafia,514
Calabar,Lokoja,579
Calabar,Maiduguri,1465
Calabar,Makurdi,532
Calabar,Minna,860
Calabar,Osogbo,695
Calabar,Owerri,200
Calabar,Port Harcourt,196
Calabar,Sokoto,1535
Calabar,Umuahia,151
Calabar,Uyo,67
Calabar,Yenagoa,300
Calabar,Yola,1132
Damaturu,Dutse,288
Damaturu,Enugu,1099
Damaturu,Gombe,256
Damaturu,Gusau,710
Damaturu,Ibadan,1274
Damaturu,Lagos,1421
Damaturu,Ilorin,1292
Damaturu,Jalingo,364
Damaturu,Jos,444
Damaturu,Kaduna,724
Damaturu,Kano,430
Damaturu,Katsina,603
Damaturu,Lafia,540
Damaturu,Lokoja,895
Damaturu,Maiduguri,130
Damaturu,Makurdi,783
Damaturu,Minna,874
Damaturu,Osogbo,1407
Damaturu,Owerri,1273
Damaturu,Port Harcourt,1172
Damaturu,Sokoto,1013
Damaturu,Umuahia,1251
Damaturu,Uyo,1038
Damaturu,Yenagoa,1523
Damaturu,Yola,322
Dutse,Enugu,910
Dutse,Gombe,895
Dutse,Gusau,416
Dutse,Ibadan,963
Dutse,Lagos,1110
Dutse,Ilorin,846
Dutse,Jalingo,542
Dutse,Jos,428
Dutse,Kaduna,338
Dutse,Kano,136
Dutse,Katsina,296
Dutse,Lafia,634
Dutse,Lokoja,650
Dutse,Maiduguri,418
Dutse,Makurdi,708
Dutse,Minna,558
Dutse,Osogbo,958
Dutse,Owerri,1076
Dutse,Port Harcourt,1150
Dutse,Sokoto,520
Dutse,Umuahia,1030
Dutse,Uyo,1150
Dutse,Yenagoa,1192
Dutse,Yola,558
Enugu,Gombe,890
Enugu,Gusau,1046
Enugu,Ibadan,558
Enugu,Lagos,376
Enugu,Ilorin,653
Enugu,Jalingo,735
Enugu,Jos,608
Enugu,Kaduna,772
Enugu,Kano,1083
Enugu,Katsina,1202
Enugu,Lafia,705
Enugu,Lokoja,392
Enugu,Maiduguri,1201
Enugu,Makurdi,270
Enugu,Minna,598
Enugu,Osogbo,462
Enugu,Owerri,145
Enugu,Port Harcourt,229
Enugu,Sokoto,1272
Enugu,Umuahia,118
Enugu,Uyo,189
Enugu,Yenagoa,265
Enugu,Yola,870
Gombe,Gusau,718
Gombe,Ibadan,1223
Gombe,Lagos,1358
Gombe,Ilorin,1064
Gombe,Jalingo,279
Gombe,Jos,286
Gombe,Kaduna,566
Gombe,Kano,457
Gombe,Katsina,675
Gombe,Lafia,482
Gombe,Lokoja,756
Gombe,Maiduguri,400
Gombe,Makurdi,623
Gombe,Minna,745
Gombe,Osogbo,1383
Gombe,Owerri,1030
Gombe,Port Harcourt,1122
Gombe,Sokoto,931
Gombe,Umuahia,1010
Gombe,Uyo,1094
Gombe,Yenagoa,1146
Gombe,Yola,262
Gusau,Ibadan,1017
Gusau,Lagos,1150
Gusau,Ilorin,857
Gusau,Jalingo,1062
Gusau,Jos,330
Gusau,Kaduna,260
Gusau,Kano,260
Gusau,Katsina,463
Gusau,Lafia,650
Gusau,Lokoja,692
Gusau,Maiduguri,914
Gusau,Makurdi,774
Gusau,Minna,558
Gusau,Osogbo,972
Gusau,Owerri,1180
Gusau,Port Harcourt,1280
Gusau,Sokoto,274
Gusau,Umuahia,1150
Gusau,Uyo,1240
Gusau,Yenagoa,1270
Gusau,Yola,971
Ibadan,Lagos,132
Ibadan,Ilorin,157
Ibadan,Jalingo,1117
Ibadan,Jos,928
Ibadan,Kaduna,756
Ibadan,Kano,1005
Ibadan,Katsina,1065
Ibadan,Lafia,825
Ibadan,Lokoja,584
Ibadan,Maiduguri,1532
Ibadan,Makurdi,920
Ibadan,Minna,592
Ibadan,Osogbo,90
Ibadan,Owerri,450
Ibadan,Port Harcourt,656
Ibadan,Sokoto,890
Ibadan,Umuahia,580
Ibadan,Uyo,676
Ibadan,Yenagoa,510
Ibadan,Yola,1543
Lagos,Ilorin,291
Lagos,Jalingo,1264
Lagos,Jos,1168
Lagos,Kaduna,889
Lagos,Kano,1139
Lagos,Katsina,1211
Lagos,Lafia,941
Lagos,Lokoja,531
Lagos,Maiduguri,1665
Lagos,Makurdi,820
Lagos,Minna,725
Lagos,Osogbo,237
Lagos,Owerri,564
Lagos,Port Harcourt,620
Lagos,Sokoto,1023
Lagos,Umuahia,600
Lagos,Uyo,689
Lagos,Yenagoa,532
Lagos,Yola,1612
Ilorin,Jalingo,958
Ilorin,Jos,776
Ilorin,Kaduna,597
Ilorin,Kano,846
Ilorin,Katsina,907
Ilorin,Lafia,660
Ilorin,Lokoja,319
Ilorin,Maiduguri,1372
Ilorin,Makurdi,863
Ilorin,Minna,432
Ilorin,Osogbo,115
Ilorin,Owerri,667
Ilorin,Port Harcourt,843
Ilorin,Sokoto,730
Ilorin,Umuahia,770
Ilorin,Uyo,865
Ilorin,Yenagoa,609
Ilorin,Yola,319
Jalingo,Jos,542
Jalingo,Kaduna,822
Jalingo,Kano,731
Jalingo,Katsina,1084
Jalingo,Lafia,450
Jalingo,Lokoja,648
Jalingo,Maiduguri,416
Jalingo,Makurdi,368
Jalingo,Minna,808
Jalingo,Osogbo,1073
Jalingo,Owerri,808
Jalingo,Port Harcourt,808
Jalingo,Sokoto,1188
Jalingo,Umuahia,756
Jalingo,Uyo,674
Jalingo,Yenagoa,924
Jalingo,Yola,142
Jos,Kaduna,278
Jos,Kano,418
Jos,Katsina,592
Jos,Lafia,196
Jos,Lokoja,469
Jos,Maiduguri,592
Jos,Makurdi,336
Jos,Minna,457
Jos,Osogbo,776
Jos,Owerri,745
Jos,Port Harcourt,840
Jos,Sokoto,644
Jos,Umuahia,727
Jos,Uyo,811
Jos,Yenagoa,861
Jos,Yola,540
Kaduna,Kano,220
Kaduna,Katsina,428
Kaduna,Lafia,474
Kaduna,Lokoja,502
Kaduna,Maiduguri,874
Kaduna,Makurdi,500
Kaduna,Minna,297
Kaduna,Osogbo,715
Kaduna,Owerri,910
Kaduna,Port Harcourt,1003
Kaduna,Sokoto,480
Kaduna,Umuahia,890
Kaduna,Uyo,975
Kaduna,Yenagoa,1026
Kaduna,Yola,820
Kano,Katsina,172
Kano,Lafia,618
Kano,Lokoja,766
Kano,Maiduguri,574
Kano,Makurdi,756
Kano,Minna,503
Kano,Osogbo,915
Kano,Owerri,1173
Kano,Port Harcourt,1270
Kano,Sokoto,645
Kano,Umuahia,1153
Kano,Uyo,1237
Kano,Yenagoa,1289
Kano,Yola,714
Katsina,Lafia,788
Katsina,Lokoja,918
Katsina,Maiduguri,794
Katsina,Makurdi,850
Katsina,Minna,606
Katsina,Osogbo,1008
Katsina,Owerri,1142
Katsina,Port Harcourt,1438
Katsina,Sokoto,380
Katsina,Umuahia,1322
Katsina,Uyo,1406
Katsina,Yenagoa,1258
Katsina,Yola,875
Lafia,Lokoja,384
Lafia,Maiduguri,728
Lafia,Makurdi,82
Lafia,Minna,297
Lafia,Osogbo,387
Lafia,Owerri,490
Lafia,Port Harcourt,587
Lafia,Sokoto,840
Lafia,Umuahia,456
Lafia,Uyo,558
Lafia,Yenagoa,606
Lafia,Yola,736
Lokoja,Maiduguri,1063
Lokoja,Makurdi,342
Lokoja,Minna,309
Lokoja,Osogbo,305
Lokoja,Owerri,424
Lokoja,Port Harcourt,521
Lokoja,Sokoto,985
Lokoja,Umuahia,405
Lokoja,Uyo,490
Lokoja,Yenagoa,540
Lokoja,Yola,945
Maiduguri,Makurdi,930
Maiduguri,Minna,1052
Maiduguri,Osogbo,1372
Maiduguri,Owerri,1142
Maiduguri,Port Harcourt,1419
Maiduguri,Sokoto,1123
Maiduguri,Umuahia,1323
Maiduguri,Uyo,1406
Maiduguri,Yenagoa,1258
Maiduguri,Yola,436
Makurdi,Minna,440
Makurdi,Osogbo,618
Makurdi,Owerri,408
Makurdi,Port Harcourt,505
Makurdi,Sokoto,1116
Makurdi,Umuahia,374
Makurdi,Uyo,473
Makurdi,Yenagoa,524
Makurdi,Yola,674
Minna,Osogbo,552
Minna,Owerri,735
Minna,Port Harcourt,830
Minna,Sokoto,674
Minna,Umuahia,716
Minna,Uyo,800
Minna,Yenagoa,851
Minna,Yola,1124
Osogbo,Owerri,495
Osogbo,Port Harcourt,623
Osogbo,Sokoto,348
Osogbo,Umuahia,564
Osogbo,Uyo,645
Osogbo,Yenagoa,469
Osogbo,Yola,225
Owerri,Port Harcourt,112
Owerri,Sokoto,1411
Owerri,Umuahia,165
Owerri,Uyo,250
Owerri,Yenagoa,116
Owerri,Yola,1008
Port Harcourt,Sokoto,1263
Port Harcourt,Umuahia,114
Port Harcourt,Uyo,120
Port Harcourt,Yenagoa,104
Port Harcourt,Yola,1105
Sokoto,Umuahia,1376
Sokoto,Uyo,1475
Sokoto,Yenagoa,1527
Sokoto,Yola,1187
Umuahia,Uyo,88
Umuahia,Yenagoa,281
Umuahia,Yola,917
Uyo,Yenagoa,224
Uyo,Yola,1073
Yenagoa,Yola,1124
Abeokuta,Abakaliki,656
Abuja,Abakaliki,477
Ado Ekiti,Abakaliki,566
Akure,Abakaliki,506
Asaba,Abakaliki,193
Awka,Abakaliki,145
Bauchi,Abakaliki,824
Benin City,Abakaliki,332
Birnin Kebbi,Abakaliki,1204
Calabar,Abakaliki,350
Damaturu,Abakaliki,1183
Dutse,Abakaliki,994
Enugu,Abakaliki,84
Gombe,Abakaliki,974
Gusau,Abakaliki,1116
Ibadan,Abakaliki,642
Lagos,Abakaliki,660
Ilorin,Abakaliki,737
Jalingo,Abakaliki,626
Jos,Abakaliki,692
Kaduna,Abakaliki,856
Kano,Abakaliki,1167
Katsina,Abakaliki,1286
Lafia,Abakaliki,388
Lokoja,Abakaliki,476
Maiduguri,Abakaliki,1285
Makurdi,Abakaliki,258
Minna,Abakaliki,682
Osogbo,Abakaliki,546
Owerri,Abakaliki,230
Port Harcourt,Abakaliki,313
Sokoto,Abakaliki,1356
Umuahia,Abakaliki,202
Uyo,Abakaliki,273
Yenagoa,Abakaliki,345
Yola,Abakaliki,954
Abuja,Abeokuta,722
Ado Ekiti,Abeokuta,340
Akure,Abeokuta,280
Asaba,Abeokuta,458
Awka,Abeokuta,444
Bauchi,Abeokuta,1143
Benin City,Abeokuta,314
Birnin Kebbi,Abeokuta,756
Calabar,Abeokuta,764
Damaturu,Abeokuta,1384
Dutse,Abeokuta,1140
Enugu,Abeokuta,572
Gombe,Abeokuta,1304
Gusau,Abeokuta,1110
Ibadan,Abeokuta,75
Lagos,Abeokuta,82
Ilorin,Abeokuta,238
Jalingo,Abeokuta,1312
Jos,Abeokuta,1015
Kaduna,Abeokuta,835
Kano,Abeokuta,1088
Katsina,Abeokuta,1181
Lafia,Abeokuta,902
Lokoja,Abeokuta,520
Maiduguri,Abeokuta,1596
Makurdi,Abeokuta,991
Minna,Abeokuta,663
Osogbo,Abeokuta,157
Owerri,Abeokuta,559
Port Harcourt,Abeokuta,671
Sokoto,Abeokuta,970
Umuahia,Abeokuta,595
Uyo,Abeokuta,671
Yenagoa,Abeokuta,524
Yola,Abeokuta,1580
Ado Ekiti,Abuja,450
Akure,Abuja,420
Asaba,Abuja,404
Awka,Abuja,440
Bauchi,Abuja,419
Benin City,Abuja,493
Birnin Kebbi,Abuja,573
Calabar,Abuja,729
Damaturu,Abuja,957
Dutse,Abuja,512
Enugu,Abuja,393
Gombe,Abuja,506
Gusau,Abuja,490
Ibadan,Abuja,645
Lagos,Abuja,761
Ilorin,Abuja,482
Jalingo,Abuja,691
Jos,Abuja,297
Kaduna,Abuja,186
Kano,Abuja,396
Katsina,Abuja,570
Lafia,Abuja,180
Lokoja,Abuja,183
Maiduguri,Abuja,875
Makurdi,Abuja,280
Minna,Abuja,156
Osogbo,Abuja,428
Owerri,Abuja,533
Port Harcourt,Abuja,616
Sokoto,Abuja,748
Umuahia,Abuja,513
Uyo,Abuja,593
Yenagoa,Abuja,647
Yola,Abuja,704
