from_city,to_city,distance_km
Katsina,Damaturu,603
Lafia,Damaturu,540
Lokoja,Damaturu,895
Maiduguri,Damaturu,130
Makurdi,Damaturu,783
Minna,Damaturu,874
Osogbo,Damaturu,1407
Owerri,Damaturu,1273
Port Harcourt,Damaturu,1172
Sokoto,Damaturu,1013
Umuahia,Damaturu,1251
Uyo,Damaturu,1038
Yenagoa,Damaturu,1523
Yola,Damaturu,322
Enugu,Dutse,910
Gombe,Dutse,895
Gusau,Dutse,416
Ibadan,Dutse,963
Lagos,Dutse,1110
Ilorin,Dutse,846
Jalingo,Dutse,542
Jos,Dutse,428
Kaduna,Dutse,338
Kano,Dutse,136
Katsina,Dutse,296
Lafia,Dutse,634
Lokoja,Dutse,650
Maiduguri,Dutse,418
Makurdi,Dutse,708
Minna,Dutse,558
Osogbo,Dutse,958
Owerri,Dutse,1076
Port Harcourt,Dutse,1150
Sokoto,Dutse,520
Umuahia,Dutse,1030
Uyo,Dutse,1150
Yenagoa,Dutse,1192
Yola,Dutse,558
Gombe,Enugu,890
Gusau,Enugu,1046
Ibadan,Enugu,558
Lagos,Enugu,376
Ilorin,Enugu,653
Jalingo,Enugu,735
Jos,Enugu,608
Kaduna,Enugu,772
Kano,Enugu,1083
Katsina,Enugu,1202
Lafia,Enugu,705
Lokoja,Enugu,392
Maiduguri,Enugu,1201
Makurdi,Enugu,270
Minna,Enugu,598
Osogbo,Enugu,462
Owerri,Enugu,145
Port Harcourt,Enugu,229
Sokoto,Enugu,1272
Umuahia,Enugu,118
Uyo,Enugu,189
Yenagoa,Enugu,265
Yola,Enugu,870
Gusau,Gombe,718
Ibadan,Gombe,1223
Lagos,Gombe,1358
Ilorin,Gombe,1064
Jalingo,Gombe,279
Jos,Gombe,286
Kaduna,Gombe,566
Kano,Gombe,457
Katsina,Gombe,675
Lafia,Gombe,482
Lokoja,Gombe,756
Maiduguri,Gombe,400
Makurdi,Gombe,623
Minna,Gombe,745
Osogbo,Gombe,1383
Owerri,Gombe,1030
Port Harcourt,Gombe,1122
Sokoto,Gombe,931
Umuahia,Gombe,1010
Uyo,Gombe,1094
Yenagoa,Gombe,1146
Yola,Gombe,262
Ibadan,Gusau,1017
Lagos,Gusau,1150
Ilorin,Gusau,857
Jalingo,Gusau,1062
Jos,Gusau,330
Kaduna,Gusau,260
Kano,Gusau,260
Katsina,Gusau,463
Lafia,Gusau,650
Lokoja,Gusau,692
Maiduguri,Gusau,914
Makurdi,Gusau,774
Minna,Gusau,558
Osogbo,Gusau,972
Owerri,Gusau,1180
Port Harcourt,Gusau,1280
Sokoto,Gusau,274
Umuahia,Gusau,1150
Uyo,Gusau,1240
Yenagoa,Gusau,1270
Yola,Gusau,971
Lagos,Ibadan,132
Ilorin,Ibadan,157
Jalingo,Ibadan,1117
Jos,Ibadan,928
Kaduna,Ibadan,756
Kano,Ibadan,1005
Katsina,Ibadan,1065
Lafia,Ibadan,825
Lokoja,Ibadan,584
Maiduguri,Ibadan,1532
Makurdi,Ibadan,920
Minna,Ibadan,592
Osogbo,Ibadan,90
Owerri,Ibadan,450
Port Harcourt,Ibadan,656
Sokoto,Ibadan,890
Umuahia,Ibadan,580
Uyo,Ibadan,676
Yenagoa,Ibadan,510
Yola,Ibadan,1543
Ilorin,Lagos,291
Jalingo,Lagos,1264
Jos,Lagos,1168
Kaduna,Lagos,889
Kano,Lagos,1139
Katsina,Lagos,1211
Lafia,Lagos,941
Lokoja,Lagos,531
Maiduguri,Lagos,1665
Makurdi,Lagos,820
Minna,Lagos,725
Osogbo,Lagos,237
Owerri,Lagos,564
Port Harcourt,Lagos,620
Sokoto,Lagos,1023
Umuahia,Lagos,600
Uyo,Lagos,689
Yenagoa,Lagos,532
Yola,Lagos,1612
Jalingo,Ilorin,958
Jos,Ilorin,776
Kaduna,Ilorin,597
Kano,Ilorin,846
Katsina,Ilorin,907
Lafia,Ilorin,660
Lokoja,Ilorin,319
Maiduguri,Ilorin,1372
Makurdi,Ilorin,863
Minna,Ilorin,432
Osogbo,Ilorin,115
Owerri,Ilorin,667
Port Harcourt,Ilorin,843
Sokoto,Ilorin,730
Umuahia,Ilorin,770
Uyo,Ilorin,865
Yenagoa,Ilorin,609
Yola,Ilorin,319
Jos,Jalingo,542
Kaduna,Jalingo,822
Kano,Jalingo,731
Katsina,Jalingo,1084
Lafia,Jalingo,450
Lokoja,Jalingo,648
Maiduguri,Jalingo,416
Makurdi,Jalingo,368
Minna,Jalingo,808
Osogbo,Jalingo,1073
Owerri,Jalingo,808
Port Harcourt,Jalingo,808
Sokoto,Jalingo,1188
Umuahia,Jalingo,756
Uyo,Jalingo,674
Yenagoa,Jalingo,924
Yola,Jalingo,142
Kaduna,Jos,278
Kano,Jos,418
Katsina,Jos,592
Lafia,Jos,196
Lokoja,Jos,469
Maiduguri,Jos,592
Makurdi,Jos,336
Minna,Jos,457
Osogbo,Jos,776
Owerri,Jos,745
Port Harcourt,Jos,840
Sokoto,Jos,644
Umuahia,Jos,727
Uyo,Jos,811
Yenagoa,Jos,861
Yola,Jos,540
Kano,Kaduna,220
Katsina,Kaduna,428
Lafia,Kaduna,474
Lokoja,Kaduna,502
Maiduguri,Kaduna,874
Makurdi,Kaduna,500
Minna,Kaduna,297
Osogbo,Kaduna,715
Owerri,Kaduna,910
Port Harcourt,Kaduna,1003
Sokoto,Kaduna,480
Umuahia,Kaduna,890
Uyo,Kaduna,975
Yenagoa,Kaduna,1026
Yola,Kaduna,820
Katsina,Kano,172
Lafia,Kano,618
Lokoja,Kano,766
Maiduguri,Kano,574
Makurdi,Kano,756
Minna,Kano,503
Osogbo,Kano,915
Owerri,Kano,1173
Port Harcourt,Kano,1270
Sokoto,Kano,645
Umuahia,Kano,1153
Uyo,Kano,1237
Yenagoa,Kano,1289
Yola,Kano,714
Lafia,Katsina,788
Lokoja,Katsina,918
Maiduguri,Katsina,794
Makurdi,Katsina,850
Minna,Katsina,606
Osogbo,Katsina,1008
Owerri,Katsina,1142
Port Harcourt,Katsina,1438
Sokoto,Katsina,380
Umuahia,Katsina,1322
Uyo,Katsina,1406
Yenagoa,Katsina,1258
Yola,Katsina,875
Lokoja,Lafia,384
Maiduguri,Lafia,728
Makurdi,Lafia,82
Minna,Lafia,297
Osogbo,Lafia,387
Owerri,Lafia,490
Port Harcourt,Lafia,587
Sokoto,Lafia,840
Umuahia,Lafia,456
Uyo,Lafia,558
Yenagoa,Lafia,606
Yola,Lafia,736
Maiduguri,Lokoja,1063
Makurdi,Lokoja,342
Minna,Lokoja,309
Osogbo,Lokoja,305
Owerri,Lokoja,424
Port Harcourt,Lokoja,521
Sokoto,Lokoja,985
Umuahia,Lokoja,405
Uyo,Lokoja,490
Yenagoa,Lokoja,540
Yola,Lokoja,945
Makurdi,Maiduguri,930
Minna,Maiduguri,1052
Osogbo,Maiduguri,1372
Owerri,Maiduguri,1142
Port Harcourt,Maiduguri,1419
Sokoto,Maiduguri,1123
Umuahia,Maiduguri,1323
Uyo,Maiduguri,1406
Yenagoa,Maiduguri,1258
Yola,Maiduguri,436
Minna,Makurdi,440
Osogbo,Makurdi,618
Owerri,Makurdi,408
Port Harcourt,Makurdi,505
Sokoto,Makurdi,1116
Umuahia,Makurdi,374
Uyo,Makurdi,473
Yenagoa,Makurdi,524
Yola,Makurdi,674
Osogbo,Minna,552
Owerri,Minna,735
Port Harcourt,Minna,830
Sokoto,Minna,674
Umuahia,Minna,716
Uyo,Minna,800
Yenagoa,Minna,851
Yola,Minna,1124
Owerri,Osogbo,495
Port Harcourt,Osogbo,623
Sokoto,Osogbo,348
Umuahia,Osogbo,564
Uyo,Osogbo,645
Yenagoa,Osogbo,469
Yola,Osogbo,225
Port Harcourt,Owerri,112
Sokoto,Owerri,1411
Umuahia,Owerri,165
Uyo,Owerri,250
Yenagoa,Owerri,116
Yola,Owerri,1008
Sokoto,Port Harcourt,1263
Umuahia,Port Harcourt,114
Uyo,Port Harcourt,120
Yenagoa,Port Harcourt,104
Yola,Port Harcourt,1105
Umuahia,Sokoto,1376
Uyo,Sokoto,1475
Yenagoa,Sokoto,1527
Yola,Sokoto,1187
Uyo,Umuahia,88
Yenagoa,Umuahia,281
Yola,Umuahia,917
Yenagoa,Uyo,224
Yola,Uyo,1073
Yola,Yenagoa,1124
